productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
MOTOR,premium,CR0017,CR0017 Class of Business,cr0017,mandatory,always,binder,config.reporting.classOfBusiness,$.reporting.classOfBusiness,json_snapshot,false,,MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,MOTOR,
MOTOR,premium,CR0019,CR0019 Type of Insurance,cr0019,mandatory,always,product,insuranceType,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0020,CR0020 Original Currency,cr0020,mandatory,always,premiumTransaction,currency,,typed_column,false,,quoteResponse.currency -> binder.defaultCurrency -> EUR,high,requiredness:mandatory;severity:error;applicability:always,quoteResponse.currency -> binder.defaultCurrency -> EUR,
MOTOR,premium,CR0021,CR0021 Total Gross Written Premium,cr0021,mandatory,always,riskTransaction,pricingFinal.premium,,derived_projection,false,riskTransaction.pricingFinal premium after transaction,premium gross movement (CR0059),high,requiredness:mandatory;severity:error;applicability:always,premium gross movement (CR0059),"Whole-risk written premium snapshot after the transaction movement, not just the row delta."
MOTOR,premium,CR0022,CR0022 Risk Transaction Type,cr0022,mandatory,always,riskTransaction,transactionType,,typed_column,false,,maps INCEPTION/ENDORSEMENT/CANCELLATION -> NB/PAM/CAN,high,requiredness:mandatory;severity:error;applicability:always,maps INCEPTION/ENDORSEMENT/CANCELLATION -> NB/PAM/CAN,
MOTOR,premium,CR0026,CR0026 Policy or Group Reference,cr0026,mandatory,always,policy,policyNumber,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0029,CR0029 Certificate Reference,cr0029,mandatory,always,policy,certificateNumber,,typed_column,false,,policy.certificateReference,high,requiredness:mandatory;severity:error;applicability:always,policy.certificateReference,Premium movements reuse policy certificate reference unless a dedicated endorsed schedule reference is introduced.
MOTOR,premium,CR0030,CR0030 Risk Inception Date,cr0030,conditional,risk_not_submitted_separately,policy,inceptionDate,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
MOTOR,premium,CR0031,CR0031 Risk Expiry Date,cr0031,conditional,risk_not_submitted_separately,policy,expiryDate,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
MOTOR,premium,CR0035,CR0035 Insured Name,cr0035,conditional,risk_not_submitted_separately,policyHolder,name,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
MOTOR,premium,CR0056,CR0056 Premium Transaction Type,cr0056,mandatory,always,premiumTransaction,transactionType,,typed_column,false,issuance and movement-sign based mapping to Original/Additional/Return Premium,NB/NB-COC/RNL->Original Premium; positive movement->Additional Premium; negative/refund->Return Premium,high,requiredness:mandatory;severity:error;applicability:always,NB/NB-COC/RNL->Original Premium; positive movement->Additional Premium; negative/refund->Return Premium,Financial premium movement type for Lloyd’s export; not an internal workflow code.
MOTOR,premium,CR0057,CR0057 Effective Date of Transaction,cr0057,mandatory,always,premiumTransaction,createdAt,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0058,CR0058 Expiry Date of Transaction,cr0058,conditional,premium_has_transaction_expiry,riskTransaction,expiryDate,,typed_column,false,,policy.expiryDate,high,requiredness:conditional;severity:warning;applicability:premium_has_transaction_expiry,policy.expiryDate,
MOTOR,premium,CR0059,CR0059 Gross Premium Paid This Time,cr0059,mandatory,always,premiumTransaction,grossPremium,,typed_column,false,,quoteResponse.primaryOption.annualPremium,high,requiredness:mandatory;severity:error;applicability:always,quoteResponse.primaryOption.annualPremium,
MOTOR,premium,CR0061,CR0061 Commission Percentage,cr0061,mandatory,premium_has_commission,premiumTransaction,commissionPercent,,typed_column,false,,binder.financials.commissionRate -> binder.config.reporting.commissionPercent -> 30,high,requiredness:mandatory;severity:error;applicability:premium_has_commission,binder.financials.commissionRate -> binder.config.reporting.commissionPercent -> 30,
